Unnamed: 0,IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,zones,timestamp,Local_time_diff
117,FSM,Fort Smith Regional Airport,Fort Smith,AR,USA,35.33659,-94.36744,America/Chicago,1420092000.0,0.0
118,FWA,Fort Wayne International Airport,Fort Wayne,IN,USA,40.97847,-85.19515,America/Indiana/Indianapolis,1420088400.0,-1.0
119,GCC,Gillette-Campbell County Airport,Gillette,WY,USA,44.3489,-105.53936000000002,America/Denver,1420095600.0,1.0
120,GCK,Garden City Regional Airport,Garden City,KS,USA,37.92752,-100.72440999999999,America/Chicago,1420092000.0,0.0
121,GEG,Spokane International Airport,Spokane,WA,USA,47.619859999999996,-117.53383999999998,America/Los_Angeles,1420099200.0,2.0
122,GFK,Grand Forks International Airport,Grand Forks,ND,USA,47.949259999999995,-97.17611,America/Chicago,1420092000.0,0.0
123,GGG,East Texas Regional Airport,Longview,TX,USA,32.384859999999996,-94.71171,America/Chicago,1420092000.0,0.0
124,GJT,Grand Junction Regional Airport (Walker Field),Grand Junction,CO,USA,39.122409999999995,-108.52673,America/Denver,1420095600.0,1.0
125,GNV,Gainesville Regional Airport,Gainesville,FL,USA,29.69006,-82.27178,America/New_York,1420088400.0,-1.0
126,GPT,Gulfport-Biloxi International Airport,Gulfport-Biloxi,MS,USA,30.40728,-89.07009000000001,America/Chicago,1420092000.0,0.0
127,GRB,Green Bay-Austin Straubel International Airport,Green Bay,WI,USA,44.48507,-88.12959000000001,America/Chicago,1420092000.0,0.0
128,GRI,Central Nebraska Regional Airport,Grand Island,NE,USA,40.96747,-98.30861,America/Chicago,1420092000.0,0.0
129,GRK,Killeen-Fort Hood Regional Airport,Killeen,TX,USA,31.0649,-97.8278,America/Chicago,1420092000.0,0.0
130,GRR,Gerald R. Ford International Airport,Grand Rapids,MI,USA,42.88082,-85.52277,America/Detroit,1420088400.0,-1.0
131,GSO,Piedmont Triad International Airport,Greensboro,NC,USA,36.09775,-79.9373,America/New_York,1420088400.0,-1.0
132,GSP,Greenville-Spartanburg International Airport,Greer,SC,USA,34.89567,-82.21885999999999,America/New_York,1420088400.0,-1.0
133,GST,Gustavus Airport,Gustavus,AK,USA,58.424380000000006,-135.70738,America/Juneau,1420102800.0,3.0
134,GTF,Great Falls International Airport,Great Falls,MT,USA,47.482,-111.37069,America/Denver,1420095600.0,1.0
135,GTR,Golden Triangle Regional Airport,Columbus-Starkville-West Point,MS,USA,33.45033,-88.59137,America/Chicago,1420092000.0,0.0
136,GUC,Gunnison-Crested Butte Regional Airport,Gunnison,CO,USA,38.53396,-106.93318000000001,America/Denver,1420095600.0,1.0
137,GUM,Guam International Airport,Agana,GU,USA,13.48649,144.80206,Pacific/Guam,1420034400.0,-16.0
138,HDN,Yampa Valley Airport (Yampa Valley Regional),Hayden,CO,USA,40.48118,-107.21766000000001,America/Denver,1420095600.0,1.0
139,HIB,Range Regional Airport (Chisholm-Hibbing Airport),Hibbing,MN,USA,47.3866,-92.83899,America/Chicago,1420092000.0,0.0
140,HLN,Helena Regional Airport,Helena,MT,USA,46.60682,-111.98275,America/Denver,1420095600.0,1.0
141,HNL,Honolulu International Airport,Honolulu,HI,USA,21.31869,-157.92241,Pacific/Honolulu,1420106400.0,4.0
142,HOB,Lea County Regional Airport,Hobbs,NM,USA,32.687529999999995,-103.21703000000001,America/Denver,1420095600.0,1.0
143,HOU,William P. Hobby Airport,Houston,TX,USA,29.64542,-95.27889,America/Chicago,1420092000.0,0.0
144,HPN,Westchester County Airport,White Plains,NY,USA,41.066959999999995,-73.70756999999999,America/New_York,1420088400.0,-1.0
145,HRL,Valley International Airport,Harlingen,TX,USA,26.228509999999996,-97.65439,America/Chicago,1420092000.0,0.0
146,HSV,Huntsville International Airport,Huntsville,AL,USA,34.64045,-86.77311,America/Chicago,1420092000.0,0.0
147,HYA,Barnstable Municipal Airport,Hyannis,MA,USA,41.669340000000005,-70.28036,America/New_York,1420088400.0,-1.0
148,HYS,Hays Regional Airport,Hays,KS,USA,38.84494,-99.27403000000001,America/Chicago,1420092000.0,0.0
149,IAD,Washington Dulles International Airport,Chantilly,VA,USA,38.94453,-77.45581,America/New_York,1420088400.0,-1.0
150,IAG,Niagara Falls International Airport,Niagara Falls,NY,USA,43.10726,-78.94538,America/Toronto,1420088400.0,-1.0
151,IAH,George Bush Intercontinental Airport,Houston,TX,USA,29.98047,-95.33972,America/Chicago,1420092000.0,0.0
152,ICT,Wichita Dwight D. Eisenhower National Airport (Wichita Mid-Continent Airport),Wichita,KS,USA,37.64996,-97.43305,America/Chicago,1420092000.0,0.0
153,IDA,Idaho Falls Regional Airport,Idaho Falls,ID,USA,43.514559999999996,-112.07016999999999,America/Boise,1420095600.0,1.0
154,ILG,Wilmington Airport,Wilmington,DE,USA,39.67872,-75.60653,America/New_York,1420088400.0,-1.0
155,ILM,Wilmington International Airport,Wilmington,NC,USA,34.27061,-77.90256,America/New_York,1420088400.0,-1.0
156,IMT,Ford Airport,Iron Mountain/Kingsford,MI,USA,45.81835,-88.11454,America/Menominee,1420092000.0,0.0
157,IND,Indianapolis International Airport,Indianapolis,IN,USA,39.71733,-86.29438,America/Indiana/Indianapolis,1420088400.0,-1.0
158,INL,Falls International Airport,International Falls,MN,USA,48.56619,-93.40307,America/Winnipeg,1420092000.0,0.0
159,ISN,Sloulin Field International Airport,Williston,ND,USA,48.17794,-103.64235,America/Chicago,1420092000.0,0.0
160,ISP,Long Island MacArthur Airport,Islip,NY,USA,40.79524,-73.10021,America/New_York,1420088400.0,-1.0
161,ITH,Ithaca Tompkins Regional Airport,Ithaca,NY,USA,42.49103,-76.45844,America/New_York,1420088400.0,-1.0
162,ITO,Hilo International Airport,Hilo,HI,USA,19.72026,-155.04847,Pacific/Honolulu,1420106400.0,4.0
163,JAC,Jackson Hole Airport,Jackson,WY,USA,43.60732,-110.73773999999999,America/Boise,1420095600.0,1.0
164,JAN,Jackson-Evers International Airport,Jackson,MS,USA,32.311170000000004,-90.07589,America/Chicago,1420092000.0,0.0
165,JAX,Jacksonville International Airport,Jacksonville,FL,USA,30.494059999999998,-81.68786,America/New_York,1420088400.0,-1.0
166,JFK,John F. Kennedy International Airport (New York International Airport),New York,NY,USA,40.63975,-73.77893,America/New_York,1420088400.0,-1.0
167,JLN,Joplin Regional Airport,Joplin,MO,USA,37.15181,-94.49826999999999,America/Chicago,1420092000.0,0.0
168,JMS,Jamestown Regional Airport,Jamestown,ND,USA,46.92972,-98.6782,America/Chicago,1420092000.0,0.0
169,JNU,Juneau International Airport,Juneau,AK,USA,58.35496,-134.57628,America/Juneau,1420102800.0,3.0
170,KOA,Kona International Airport at Keahole,Kailua/Kona,HI,USA,19.738770000000002,-156.04563000000002,Pacific/Honolulu,1420106400.0,4.0
171,KTN,Ketchikan International Airport,Ketchikan,AK,USA,55.35556999999999,-131.71374,America/Metlakatla,1420099200.0,2.0
172,LAN,Capital Region International Airport ( Lansing Capital City),Lansing,MI,USA,42.7787,-84.58736,America/Detroit,1420088400.0,-1.0
173,LAR,Laramie Regional Airport,Laramie,WY,USA,41.31205,-105.67499,America/Denver,1420095600.0,1.0
174,LAS,McCarran International Airport,Las Vegas,NV,USA,36.08036,-115.15233,America/Los_Angeles,1420099200.0,2.0
175,LAW,Lawton-Fort Sill Regional Airport,Lawton,OK,USA,34.56771,-98.41664,America/Chicago,1420092000.0,0.0
176,LAX,Los Angeles International Airport,Los Angeles,CA,USA,33.94254,-118.40807,America/Los_Angeles,1420099200.0,2.0
177,LBB,Lubbock Preston Smith International Airport,Lubbock,TX,USA,33.66364,-101.82278000000001,America/Chicago,1420092000.0,0.0
178,LBE,Arnold Palmer Regional Airport,Latrobe,PA,USA,40.275940000000006,-79.4048,America/New_York,1420088400.0,-1.0
179,LCH,Lake Charles Regional Airport,Lake Charles,LA,USA,30.1261,-93.2234,America/Chicago,1420092000.0,0.0
180,LEX,Blue Grass Airport,Lexington,KY,USA,38.036970000000004,-84.60539,America/New_York,1420088400.0,-1.0
181,LFT,Lafayette Regional Airport,Lafayette,LA,USA,30.20528,-91.98765999999999,America/Chicago,1420092000.0,0.0
182,LGA,LaGuardia Airport (Marine Air Terminal),New York,NY,USA,40.77724,-73.87261,America/New_York,1420088400.0,-1.0
183,LGB,Long Beach Airport (Daugherty Field),Long Beach,CA,USA,33.81772,-118.15161,America/Los_Angeles,1420099200.0,2.0
184,LIH,Lihue Airport,Lihue,HI,USA,21.97598,-159.33896000000001,Pacific/Honolulu,1420106400.0,4.0
185,LIT,Bill and Hillary Clinton National Airport (Adams Field),Little Rock,AR,USA,34.7294,-92.22425,America/Chicago,1420092000.0,0.0
186,LNK,Lincoln Airport (Lincoln Municipal),Lincoln,NE,USA,40.850970000000004,-96.75925,America/Chicago,1420092000.0,0.0
187,LRD,Laredo International Airport,Laredo,TX,USA,27.543740000000003,-99.46154,America/Chicago,1420092000.0,0.0
188,LSE,La Crosse Regional Airport,La Crosse,WI,USA,43.87938,-91.25654,America/Chicago,1420092000.0,0.0
189,LWS,Lewiston-Nez Perce County Airport,Lewiston,ID,USA,46.3745,-117.01539,America/Los_Angeles,1420099200.0,2.0
190,MAF,Midland International Airport,Midland,TX,USA,31.942529999999998,-102.20191,America/Chicago,1420092000.0,0.0
191,MBS,MBS International Airport,Saginaw,MI,USA,43.53291,-84.07965,America/Detroit,1420088400.0,-1.0
192,MCI,Kansas City International Airport,Kansas City,MO,USA,39.29761,-94.71391,America/Chicago,1420092000.0,0.0
193,MCO,Orlando International Airport,Orlando,FL,USA,28.428890000000003,-81.31603,America/New_York,1420088400.0,-1.0
194,MDT,Harrisburg International Airport,Harrisburg,PA,USA,40.1935,-76.7634,America/New_York,1420088400.0,-1.0
195,MDW,Chicago Midway International Airport,Chicago,IL,USA,41.78598,-87.75242,America/Chicago,1420092000.0,0.0
196,MEI,Meridian Regional Airport,Meridian,MS,USA,32.33313,-88.75121,America/Chicago,1420092000.0,0.0
197,MEM,Memphis International Airport,Memphis,TN,USA,35.04242,-89.97667,America/Chicago,1420092000.0,0.0
198,MFE,McAllen-Miller International Airport (McAllen Miller International),McAllen,TX,USA,26.175829999999998,-98.23861,America/Chicago,1420092000.0,0.0
199,MFR,Rogue Valley International Airport,Medford,OR,USA,42.37423,-122.8735,America/Los_Angeles,1420099200.0,2.0
200,MGM,Montgomery Regional Airport,Montgomery,AL,USA,32.30064,-86.39398,America/Chicago,1420092000.0,0.0
201,MHK,Manhattan Regional Airport,Manhattan,KS,USA,39.14097,-96.67083000000001,America/Chicago,1420092000.0,0.0
202,MHT,Manchester-Boston Regional Airport,Manchester,NH,USA,42.93452,-71.43706,America/New_York,1420088400.0,-1.0
203,MIA,Miami International Airport,Miami,FL,USA,25.79325,-80.29056,America/New_York,1420088400.0,-1.0
204,MKE,General Mitchell International Airport,Milwaukee,WI,USA,42.94722,-87.89658,America/Chicago,1420092000.0,0.0
205,MKG,Muskegon County Airport,Muskegon,MI,USA,43.16949,-86.23822,America/Chicago,1420092000.0,0.0
206,MLB,Melbourne International Airport,Melbourne,FL,USA,28.10275,-80.64581,America/New_York,1420088400.0,-1.0
207,MLI,Quad City International Airport,Moline,IL,USA,41.44853,-90.50754,America/Chicago,1420092000.0,0.0
208,MLU,Monroe Regional Airport,Monroe,LA,USA,32.510870000000004,-92.03769,America/Chicago,1420092000.0,0.0
209,MMH,Mammoth Yosemite Airport,Mammoth Lakes,CA,USA,37.62405,-118.83776999999999,America/Los_Angeles,1420099200.0,2.0
210,MOB,Mobile Regional Airport,Mobile,AL,USA,30.69142,-88.24283,America/Chicago,1420092000.0,0.0
211,MOT,Minot International Airport,Minot,ND,USA,48.25938,-101.28033,America/Chicago,1420092000.0,0.0
212,MQT,Sawyer International Airport,Marquette,MI,USA,46.353640000000006,-87.39536,America/Detroit,1420088400.0,-1.0
213,MRY,Monterey Regional Airport (Monterey Peninsula Airport),Monterey,CA,USA,36.58698,-121.84295,America/Los_Angeles,1420099200.0,2.0
214,MSN,Dane County Regional Airport,Madison,WI,USA,43.13986,-89.33751,America/Chicago,1420092000.0,0.0
215,MSO,Missoula International Airport,Missoula,MT,USA,46.916309999999996,-114.09056000000001,America/Denver,1420095600.0,1.0
216,MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,USA,44.88055,-93.21692,America/Chicago,1420092000.0,0.0
217,MSY,Louis Armstrong New Orleans International Airport,New Orleans,LA,USA,29.99339,-90.25803,America/Chicago,1420092000.0,0.0
218,MTJ,Montrose Regional Airport,Montrose,CO,USA,38.50887,-107.89383000000001,America/Denver,1420095600.0,1.0
219,MVY,Martha's Vineyard Airport,Marthas Vineyard,MA,USA,41.393029999999996,-70.61433000000001,America/New_York,1420088400.0,-1.0
220,MYR,Myrtle Beach International Airport,Myrtle Beach,SC,USA,33.67975,-78.92833,America/New_York,1420088400.0,-1.0
221,OAJ,Albert J. Ellis Airport,Jacksonville,NC,USA,34.829159999999995,-77.61214,America/New_York,1420088400.0,-1.0
222,OAK,Oakland International Airport,Oakland,CA,USA,37.72129,-122.22072,America/Los_Angeles,1420099200.0,2.0
223,OGG,Kahului Airport,Kahului,HI,USA,20.89865,-156.43046,Pacific/Honolulu,1420106400.0,4.0
224,OKC,Will Rogers World Airport,Oklahoma City,OK,USA,35.39309,-97.60073,America/Chicago,1420092000.0,0.0
225,OMA,Eppley Airfield,Omaha,NE,USA,41.30252,-95.89416999999999,America/Chicago,1420092000.0,0.0
226,OME,Nome Airport,Nome,AK,USA,64.5122,-165.44525,America/Nome,1420102800.0,3.0
227,ONT,Ontario International Airport,Ontario,CA,USA,34.056,-117.60118999999999,America/Los_Angeles,1420099200.0,2.0
228,ORD,Chicago O'Hare International Airport,Chicago,IL,USA,41.9796,-87.90446,America/Chicago,1420092000.0,0.0
229,ORF,Norfolk International Airport,Norfolk,VA,USA,36.89461,-76.20121999999999,America/New_York,1420088400.0,-1.0
230,ORH,Worcester Regional Airport,Worcester,MA,USA,42.267340000000004,-71.87571,America/New_York,1420088400.0,-1.0
231,OTH,Southwest Oregon Regional Airport (North Bend Municipal),North Bend,OR,USA,43.41714,-124.24603,America/Los_Angeles,1420099200.0,2.0
232,OTZ,Ralph Wien Memorial Airport,Kotzebue,AK,USA,66.88468,-162.59855,America/Nome,1420102800.0,3.0
233,PAH,Barkley Regional Airport,Paducah,KY,USA,37.060829999999996,-88.77375,America/Chicago,1420092000.0,0.0
234,PBG,Plattsburgh International Airport,Plattsburgh,NY,USA,44.668919,-73.471977,America/Toronto,1420088400.0,-1.0
235,PBI,Palm Beach International Airport,West Palm Beach,FL,USA,26.683159999999997,-80.09559,America/New_York,1420088400.0,-1.0
236,PDX,Portland International Airport,Portland,OR,USA,45.58872,-122.5975,America/Los_Angeles,1420099200.0,2.0
237,PHF,Newport News/Williamsburg International Airport,Newport News,VA,USA,37.1319,-76.49299,America/New_York,1420088400.0,-1.0
238,PHL,Philadelphia International Airport,Philadelphia,PA,USA,39.87195,-75.24114,America/New_York,1420088400.0,-1.0
239,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,USA,33.43417,-112.00806000000001,America/Phoenix,1420095600.0,1.0
240,PIA,General Wayne A. Downing Peoria International Airport,Peoria,IL,USA,40.66424,-89.69331,America/Chicago,1420092000.0,0.0
241,PIB,Hattiesburg-Laurel Regional Airport,Hattiesburg-Laurel,MS,USA,31.46715,-89.33706,America/Chicago,1420092000.0,0.0
242,PIH,Pocatello Regional Airport,Pocatello,ID,USA,42.91131,-112.59586000000002,America/Boise,1420095600.0,1.0
243,PIT,Pittsburgh International Airport,Pittsburgh,PA,USA,40.49147,-80.23286999999999,America/New_York,1420088400.0,-1.0
244,PLN,Pellston Regional Airport of Emmet County,Pellston,MI,USA,45.57093,-84.79672,America/Detroit,1420088400.0,-1.0
245,PNS,Pensacola International Airport (Pensacola Gulf Coast Regional Airport),Pensacola,FL,USA,30.473309999999998,-87.18744000000001,America/Chicago,1420092000.0,0.0
246,PPG,Pago Pago International Airport (Tafuna Airport),Pago Pago,AS,USA,-14.328397,-170.712289,Pacific/Pago_Pago,1420110000.0,5.0
247,PSC,Tri-Cities Airport,Pasco,WA,USA,46.26468,-119.11903000000001,America/Los_Angeles,1420099200.0,2.0
248,PSE,Mercedita Airport,Ponce,PR,USA,18.0083,-66.56300999999999,America/Puerto_Rico,1420084800.0,-2.0
249,PSG,Petersburg James A. Johnson Airport,Petersburg,AK,USA,56.80165,-132.94528,America/Juneau,1420102800.0,3.0
250,PSP,Palm Springs International Airport,Palm Springs,CA,USA,33.82922,-116.50625,America/Los_Angeles,1420099200.0,2.0
251,PUB,Pueblo Memorial Airport,Pueblo,CO,USA,38.28909,-104.49656999999999,America/Denver,1420095600.0,1.0
252,PVD,Theodore Francis Green State Airport,Providence,RI,USA,41.724,-71.42822,America/New_York,1420088400.0,-1.0
253,PWM,Portland International Jetport,Portland,ME,USA,43.64617,-70.30875,America/New_York,1420088400.0,-1.0
254,RAP,Rapid City Regional Airport,Rapid City,SD,USA,44.045320000000004,-103.05736999999999,America/Denver,1420095600.0,1.0
255,RDD,Redding Municipal Airport,Redding,CA,USA,40.50898,-122.2934,America/Los_Angeles,1420099200.0,2.0
256,RDM,Redmond Municipal Airport (Roberts Field),Redmond,OR,USA,44.25407,-121.14996000000001,America/Los_Angeles,1420099200.0,2.0
257,RDU,Raleigh-Durham International Airport,Raleigh,NC,USA,35.87764,-78.78747,America/New_York,1420088400.0,-1.0
258,RHI,Rhinelander-Oneida County Airport,Rhinelander,WI,USA,45.631190000000004,-89.46745,America/Chicago,1420092000.0,0.0
259,RIC,Richmond International Airport,Richmond,VA,USA,37.50517,-77.31967,America/New_York,1420088400.0,-1.0
260,RKS,Rock Springs-Sweetwater County Airport,Rock Springs,WY,USA,41.59422,-109.06518999999999,America/Denver,1420095600.0,1.0
261,RNO,Reno/Tahoe International Airport,Reno,NV,USA,39.49858,-119.76806,America/Los_Angeles,1420099200.0,2.0
262,ROA,Roanoke Regional Airport (Woodrum Field),Roanoke,VA,USA,37.32547,-79.97543,America/New_York,1420088400.0,-1.0
263,ROC,Greater Rochester International Airport,Rochester,NY,USA,43.11887,-77.67238,America/Toronto,1420088400.0,-1.0
264,ROW,Roswell International Air Center,Roswell,NM,USA,33.301559999999995,-104.53056,America/Denver,1420095600.0,1.0
265,RST,Rochester International Airport,Rochester,MN,USA,43.90883,-92.49799,America/Chicago,1420092000.0,0.0
266,RSW,Southwest Florida International Airport,Ft. Myers,FL,USA,26.536170000000002,-81.75516999999999,America/New_York,1420088400.0,-1.0
267,SAF,Santa Fe Municipal Airport,Santa Fe,NM,USA,35.61678,-106.08814,America/Denver,1420095600.0,1.0
268,SAN,San Diego International Airport (Lindbergh Field),San Diego,CA,USA,32.73356,-117.18966,America/Los_Angeles,1420099200.0,2.0
269,SAT,San Antonio International Airport,San Antonio,TX,USA,29.533690000000004,-98.46978,America/Chicago,1420092000.0,0.0
270,SAV,Savannah/Hilton Head International Airport,Savannah,GA,USA,32.12758,-81.20214,America/New_York,1420088400.0,-1.0
271,SBA,Santa Barbara Municipal Airport (Santa Barbara Airport),Santa Barbara,CA,USA,34.42621,-119.84037,America/Los_Angeles,1420099200.0,2.0
272,SBN,South Bend International Airport (South Bend Regional),South Bend,IN,USA,41.70895,-86.31846999999999,America/Detroit,1420088400.0,-1.0
273,SBP,San Luis Obispo County Regional Airport (McChesney Field),San Luis Obispo,CA,USA,35.23706,-120.64238999999999,America/Los_Angeles,1420099200.0,2.0
274,SCC,Deadhorse Airport (Prudhoe Bay Airport),Deadhorse,AK,USA,70.19476,-148.46516,America/Anchorage,1420102800.0,3.0
275,SCE,University Park Airport,State College,PA,USA,40.851209999999995,-77.8463,America/New_York,1420088400.0,-1.0
276,SDF,Louisville International Airport (Standiford Field),Louisville,KY,USA,38.17439,-85.736,America/Kentucky/Louisville,1420088400.0,-1.0
277,SEA,Seattle-Tacoma International Airport,Seattle,WA,USA,47.44898,-122.30931000000001,America/Los_Angeles,1420099200.0,2.0
278,SFO,San Francisco International Airport,San Francisco,CA,USA,37.619,-122.37483999999999,America/Los_Angeles,1420099200.0,2.0
279,SGF,Springfield-Branson National Airport,Springfield,MO,USA,37.24433,-93.38686,America/Chicago,1420092000.0,0.0
280,SGU,St. George Regional Airport,St George,UT,USA,37.090579999999996,-113.59306000000001,America/Denver,1420095600.0,1.0
281,SHV,Shreveport Regional Airport,Shreveport,LA,USA,32.44663,-93.8256,America/Chicago,1420092000.0,0.0
282,SIT,Sitka Rocky Gutierrez Airport,Sitka,AK,USA,57.04714,-135.3616,America/Juneau,1420102800.0,3.0
283,SJC,Norman Y. Mineta San José International Airport,San Jose,CA,USA,37.36186,-121.92901,America/Los_Angeles,1420099200.0,2.0
284,SJT,San Angelo Regional Airport (Mathis Field),San Angelo,TX,USA,31.35775,-100.49631,America/Chicago,1420092000.0,0.0
285,SJU,Luis Muñoz Marín International Airport,San Juan,PR,USA,18.439420000000002,-66.00183,America/Puerto_Rico,1420084800.0,-2.0
286,SLC,Salt Lake City International Airport,Salt Lake City,UT,USA,40.78839,-111.97776999999999,America/Boise,1420095600.0,1.0
287,SMF,Sacramento International Airport,Sacramento,CA,USA,38.69542,-121.59076999999999,America/Los_Angeles,1420099200.0,2.0
